"State","Account.Length","Area.Code","Phone","date_naissance"
"WV",111,510,"412-9997","7/27/1950"
"KY",74,415,"346-7302","9/16/1986"
"NJ",128,415,"358-9095","8/25/1968"
"DC",82,510,"400-9770","8/3/1983"
"LA",155,415,"334-1275","7/28/1960"
"AR",80,415,"340-4953","8/9/1985"
"ME",78,415,"400-9510","9/9/1982"
"AZ",90,415,"387-6103","8/28/1981"
"AK",104,408,"366-4467","8/9/1979"
"MT",73,415,"370-3450","8/20/1909"
"AZ",99,415,"327-3954","8/8/1949"
"MS",120,408,"355-6291","9/19/1978"
"ID",77,415,"362-9748","9/16/1969"
"IA",98,510,"379-6506","9/21/1990"
"MA",108,415,"347-7741","8/9/1984"
"VT",135,415,"354-3783","8/15/1984"
"KY",95,408,"401-7594","8/11/1954"
"IN",122,408,"397-4976","9/3/1948"
"AZ",95,408,"334-2577","7/4/1954"
"MI",36,510,"400-3637","8/14/1957"
"NM",93,510,"383-4361","8/22/1953"
"CO",141,415,"371-4306","7/28/1903"
"UT",157,408,"403-4298","8/8/1917"
"MI",120,408,"409-3786","9/1/1977"
"MA",103,415,"337-4697","9/14/1960"
"AL",98,408,"383-1509","8/31/1949"
"DE",125,408,"359-9794","9/28/1989"
"AZ",63,415,"407-7035","9/23/1992"
"ME",36,510,"363-1069","9/28/1941"
"NJ",64,510,"391-4652","8/11/1986"
"NV",74,415,"355-6837","9/2/1904"
"MO",112,510,"409-1244","8/5/1990"
"ID",97,408,"328-3266","8/31/1946"
"NE",46,408,"352-7072","9/13/1986"
"TX",41,408,"370-7550","8/5/1973"
"MD",121,510,"369-5526","7/7/1953"
"MS",193,415,"329-4391","7/9/1959"
"NV",130,510,"408-4195","9/26/1961"
"AZ",85,408,"354-4445","9/28/1984"
"MS",162,415,"335-4858","9/3/1988"
"MS",61,510,"414-8718","8/7/1945"
"TX",92,408,"409-5939","9/30/1980"
"NE",131,408,"331-4902","8/5/1952"
"NE",90,415,"353-6870","8/28/1992"
"CA",75,408,"355-2909","8/18/1978"
"NJ",78,415,"390-6101","8/15/1987"
"TX",82,408,"400-3446","9/2/1980"
"AR",163,408,"411-5859","9/27/1985"
"AL",91,510,"387-2919","9/21/1991"
"NY",75,415,"374-8525","8/3/1987"
"FL",91,510,"379-5592","7/28/1977"
"AK",127,510,"345-8237","9/2/1994"
"NV",113,415,"422-6690","8/4/1967"
"DE",110,510,"346-2359","8/23/1948"
"MD",120,415,"374-3534","9/30/1901"
"MI",157,415,"381-4756","9/18/1917"
"VT",103,510,"390-2805","8/20/1927"
"VT",117,408,"390-2390","7/7/1972"
"MI",140,415,"419-9097","8/3/1994"
"WA",127,408,"386-7281","7/4/1959"
"UT",83,408,"380-3561","7/6/1972"
"LA",121,408,"390-8760","7/5/1964"
"RI",145,408,"366-6730","8/20/1988"
"IA",113,408,"395-5285","9/20/1987"
"NE",117,415,"354-3436","9/7/1965"
"OH",65,408,"336-7600","9/17/1968"
"RI",56,415,"383-6293","9/21/1959"
"OK",96,415,"362-4596","9/16/1975"
"LA",151,408,"401-3926","7/3/1988"
"OH",83,415,"370-9116","9/24/1899"
"VA",139,510,"328-6289","9/18/1971"
"MO",6,510,"350-9994","9/19/1990"
"FL",115,510,"351-4616","9/26/1994"
"SC",87,415,"360-5779","9/3/1942"
"VA",141,415,"417-4885","8/19/1994"
"IA",141,510,"406-4710","8/15/1965"
"MI",62,415,"409-8743","9/10/1991"
"OK",146,415,"335-4584","8/9/1944"
"DE",92,415,"361-9845","9/26/1990"
"GA",185,510,"366-5699","8/24/1946"
"DC",148,415,"329-9364","9/12/1979"
"AZ",94,408,"390-7434","9/10/1974"
"AL",32,510,"404-9680","9/1/1989"
"CO",68,408,"338-9398","8/28/1945"
"NH",64,408,"394-2445","9/13/1988"
"NM",25,415,"381-2709","7/8/1971"
"OR",65,415,"397-5060","8/30/1992"
"LA",179,408,"415-2393","8/29/1898"
"NE",94,415,"377-1765","9/7/1987"
"MN",62,415,"409-2111","8/30/1971"
"MI",127,415,"401-3170","7/28/1988"
"AR",116,408,"405-5681","8/11/1964"
"KS",70,408,"411-4582","8/14/1958"
"WV",94,510,"355-5009","8/21/1979"
"AK",126,415,"372-3750","9/9/1989"
"NY",67,408,"405-2888","8/9/1988"
"NH",19,408,"361-3337","7/7/1943"
"VA",170,510,"350-1639","8/17/1993"
"NM",73,415,"333-3221","8/26/1917"
"NY",106,408,"422-1471","8/26/1957"
"AZ",93,415,"399-7865","8/8/1984"
"WY",164,510,"373-4819","8/13/1941"
"WA",51,408,"338-6981","7/28/1977"
"CO",107,415,"418-4365","9/21/1949"
"TX",130,415,"359-5461","9/11/1990"
"KY",80,408,"375-3586","9/9/1986"
"MT",94,415,"407-8376","9/26/1934"
"OK",118,408,"408-6496","8/30/1980"
"MD",117,415,"385-7688","9/10/1957"
"TN",78,415,"332-6934","9/10/1948"
"TX",208,510,"378-3625","7/9/1968"
"ME",131,510,"353-7292","8/19/1968"
"DC",63,408,"399-6786","9/25/1985"
"MN",53,415,"358-3261","9/14/1919"
"DE",62,408,"377-9932","9/2/1954"
"MD",97,415,"397-4030","7/27/1964"
"MI",105,510,"367-1062","9/22/1922"
"WA",157,415,"341-8467","8/24/1986"
"MO",66,415,"339-9453","7/8/1968"
"IN",122,415,"344-3388","9/7/1972"
"OR",38,415,"375-8013","8/10/1986"
"MD",106,510,"408-4142","9/11/1971"
"RI",99,510,"386-3671","8/27/1921"
"LA",99,415,"411-2284","7/9/1985"
"AZ",144,510,"346-7795","9/20/1964"
"PA",82,415,"333-5609","9/13/1991"
"AZ",86,408,"405-1842","7/31/1988"
"FL",70,510,"366-6345","9/11/1990"
"LA",93,415,"337-9345","9/2/1994"
"FL",93,415,"328-6770","9/22/1992"
"FL",120,415,"380-7321","8/19/1956"
"MD",136,415,"375-1476","8/22/1899"
"AL",106,415,"356-1567","8/12/1944"
"WA",81,415,"422-6685","8/25/1980"
"TN",127,408,"336-1090","7/7/1979"
"MS",65,415,"343-2095","8/14/1952"
"ME",35,408,"345-3934","7/31/1904"
"OK",88,408,"338-8050","9/16/1995"
"IN",65,415,"388-9568","8/30/1952"
"MO",123,415,"402-6591","9/19/1995"
"IA",126,408,"403-6419","7/3/1946"
"VA",104,415,"386-9790","8/29/1964"
"KY",45,415,"378-5692","9/21/1983"
"MD",93,408,"360-3324","9/11/1982"
"OH",63,415,"410-3719","8/15/1992"
"OK",100,415,"352-4221","9/14/1987"
"NV",53,415,"327-6179","8/25/1900"
"ID",92,415,"359-6196","8/5/1940"
"MN",139,510,"374-9107","8/2/1896"
"SD",110,408,"357-4078","9/15/1946"
"IL",110,408,"366-5780","9/13/1991"
"WY",215,510,"393-9619","8/17/1988"
"AL",73,415,"355-9295","9/21/1930"
"NJ",138,510,"400-5751","9/17/1989"
"NV",137,415,"338-1027","8/30/1991"
"IN",36,415,"405-8867","8/8/1897"
"WV",85,408,"336-5616","9/20/1983"
"VA",108,408,"335-1697","7/28/1983"
"SC",22,408,"331-5138","7/28/1952"
"RI",107,415,"385-8240","8/27/1991"
"IN",51,510,"348-1359","9/23/1990"
"AZ",94,408,"354-7339","7/8/1963"
"NM",119,510,"349-1687","7/29/1990"
"OR",33,415,"380-2558","9/22/1913"
"NJ",106,415,"365-2153","8/20/1956"
"MS",82,408,"345-6043","9/25/1993"
"MI",86,510,"349-2808","8/1/1953"
"TX",97,415,"411-1715","9/18/1963"
"FL",106,408,"385-2488","9/12/1992"
"DC",108,510,"377-7177","8/3/1960"
"TX",114,415,"342-1099","9/4/1969"
"KS",92,408,"386-4170","8/22/1966"
"UT",59,510,"413-1269","9/17/1942"
"MN",24,510,"396-4460","9/23/1988"
"IL",151,408,"334-2730","9/8/1983"
"NM",117,415,"340-3182","7/4/1921"
"SC",78,510,"377-8608","9/26/1991"
"NC",155,408,"417-3676","8/11/1978"
"WV",114,510,"417-6774","9/21/1923"
"RI",114,510,"411-9554","9/18/1989"
"NH",119,408,"420-3192","7/3/1994"
"MO",64,510,"389-1475","8/12/1943"
"MA",118,408,"343-7734","8/26/1961"
"PA",101,415,"410-3390","9/16/1905"
"OK",117,415,"344-6495","9/3/1930"
"AL",49,415,"331-6229","8/24/1972"
"WY",139,415,"337-7501","8/18/1983"
"PA",92,408,"339-9631","7/3/1988"
"WA",83,415,"369-4384","9/24/1994"
"HI",148,510,"416-3915","8/21/1926"
"SD",144,408,"339-3049","8/16/1930"
"AL",131,415,"361-7998","9/20/1937"
"VT",146,510,"355-4842","8/25/1973"
"MT",143,415,"387-6440","7/30/1956"
"MN",81,415,"369-2625","8/7/1915"
"AK",48,415,"389-7073","7/5/1980"
"MI",86,415,"370-8463","9/2/1947"
"DE",71,415,"362-7318","8/29/1921"
"SD",145,408,"412-1194","9/18/1992"
"MI",137,510,"355-9508","8/26/1949"
"KS",137,408,"352-8202","9/12/1961"
"AL",167,510,"335-5882","9/26/1914"
"OK",89,510,"352-6976","9/3/1968"
"CT",199,415,"393-6733","7/4/1953"
"NE",132,510,"335-1838","8/29/1962"
"WI",94,510,"355-6930","9/17/1956"
"CT",96,415,"387-5860","9/14/1983"
"WI",96,510,"343-2605","9/7/1972"
"IN",166,510,"350-6759","9/21/1923"
"DC",74,415,"371-1514","8/22/1982"
"AR",36,415,"346-9317","8/25/1974"
"ME",113,415,"398-4313","8/7/1983"
"MN",94,415,"412-4399","8/3/1989"
"MD",67,415,"330-1835","9/13/1960"
"FL",127,415,"416-1676","7/28/1943"
"RI",121,408,"329-7347","7/7/1947"
"IA",158,415,"360-6868","9/1/1903"
"AZ",136,510,"405-6641","9/1/1985"
"MO",196,415,"393-2373","9/21/1905"
"VT",113,415,"419-1714","9/29/1944"
"IN",122,408,"336-3819","8/31/1929"
"RI",112,510,"341-3464","9/19/1985"
"SD",209,415,"413-5310","8/8/1967"
"MN",62,415,"366-7912","7/6/1992"
"TX",110,415,"399-8845","9/19/1899"
"VA",16,510,"368-2583","8/11/1988"
"MA",73,408,"360-6309","9/3/1987"
"ID",128,408,"359-5890","8/26/1907"
"MA",39,408,"332-2462","8/21/1992"
"GA",103,415,"381-9196","9/19/1989"
"RI",119,415,"329-3222","8/16/1961"
"ID",173,510,"363-5819","8/24/1990"
"SD",128,510,"413-9269","8/13/1945"
"MA",86,510,"330-7483","8/9/1956"
"WY",114,415,"403-7775","7/6/1989"
"VA",104,408,"360-2479","9/20/1990"
"OR",148,415,"394-3791","8/1/1940"
"VA",129,408,"384-2632","7/30/1924"
"ME",100,510,"359-8466","8/21/1987"
"AL",121,408,"331-8909","9/25/1966"
"GA",143,408,"359-5160","8/17/1984"
"IA",76,510,"330-9833","9/2/1990"
"AZ",158,510,"362-2314","8/12/1930"
"FL",116,510,"338-8478","9/22/1898"
"MT",54,415,"387-5453","8/7/1960"
"AL",86,415,"380-3437","8/16/1949"
"DE",108,510,"365-8779","9/7/1993"
"MT",66,510,"407-2750","9/24/1964"
"KY",151,408,"396-8265","7/30/1987"
"SC",99,510,"397-4304","8/1/1973"
"WA",55,415,"333-2611","9/1/1904"
"OR",77,510,"409-8814","8/31/1980"
"AK",78,408,"336-5406","9/6/1992"
"GA",89,415,"343-6940","8/20/1944"
"MN",101,415,"361-9923","7/27/1991"
"IL",44,415,"350-6639","9/12/1975"
"IN",98,408,"376-4300","9/28/1914"
"SC",64,510,"349-6567","7/6/1993"
"VA",141,415,"333-7749","8/21/1920"
"WI",81,415,"408-6089","8/2/1955"
"VT",162,510,"375-2165","7/29/1906"
"AZ",83,415,"400-6999","9/2/1945"
"FL",100,510,"420-7823","8/27/1922"
"AK",59,510,"366-5241","8/5/1962"
"AR",179,415,"413-3412","9/28/1977"
"AR",79,408,"406-2752","8/27/1987"
"AK",117,415,"337-8078","7/6/1992"
"MS",64,408,"402-1942","9/12/1948"
"ME",31,415,"371-7917","8/23/1965"
"CA",124,408,"343-6374","8/5/1899"
"NM",122,408,"385-8730","9/10/1920"
"NE",37,408,"393-7892","9/16/1994"
"SC",90,408,"407-6748","8/25/1947"
"CO",159,408,"341-4463","9/3/1906"
"DE",148,415,"351-2587","9/22/1985"
"OH",39,415,"421-9752","8/14/1993"
"MS",77,408,"356-4001","7/30/1959"
"OK",194,408,"328-9869","8/15/1901"
"CO",154,415,"343-5709","9/19/1933"
"NC",112,415,"334-1872","7/31/1986"
"MD",45,415,"350-1040","8/12/1975"
"KS",132,415,"369-3214","9/1/1960"
"MA",128,415,"385-6778","9/24/1988"
"NC",135,415,"383-7689","9/28/1983"
"NM",56,408,"385-5722","9/5/1986"
"CA",151,415,"357-1909","7/30/1987"
"NY",32,415,"364-3567","8/1/1978"
"AZ",90,415,"422-4241","8/12/1987"
"SD",87,415,"370-2957","8/11/1960"
"DC",138,415,"329-6562","8/11/1994"
"ND",79,408,"363-3515","7/7/1993"
"MO",95,415,"374-7787","8/9/1979"
"KS",127,415,"345-2931","8/31/1993"
"SD",137,510,"373-5732","8/6/1981"
"OK",97,415,"348-7437","9/27/1984"
"OR",149,415,"332-9460","9/20/1993"
"IN",117,415,"355-6531","7/29/1991"
"OH",84,408,"336-9390","9/19/1974"
"KS",137,415,"346-8581","9/29/1981"
"CT",99,415,"363-8824","9/15/1980"
"NH",54,510,"353-3351","7/4/1894"
"WI",85,415,"360-4320","9/16/1994"
"MS",150,510,"417-6252","8/15/1987"
"WV",43,415,"393-4949","8/18/1915"
"MA",35,415,"401-3156","9/2/1989"
"MD",98,415,"338-6283","9/10/1956"
"PA",112,510,"352-9017","9/5/1920"
"WI",16,510,"405-5305","8/8/1975"
"TN",98,415,"376-9249","9/23/1970"
"TX",84,408,"339-7139","9/8/1945"
"OR",94,415,"328-6011","9/21/1923"
"IL",84,510,"378-1303","9/21/1984"
"DC",66,415,"402-5155","8/2/1986"
"GA",98,415,"333-5430","9/14/1896"
"ID",74,415,"365-9696","9/1/1991"
"UT",96,408,"410-4023","9/18/1994"
"KY",119,510,"411-7649","8/28/1970"
"OH",73,415,"338-4065","8/6/1947"
"WI",92,415,"421-9401","9/30/1984"
"IL",21,415,"343-9658","8/8/1899"
"DE",122,510,"332-5521","7/9/1957"
"RI",133,510,"349-4369","8/28/1980"
"TX",145,415,"351-4288","8/19/1989"
"OR",25,408,"422-5874","9/19/1957"
"NV",64,415,"396-2324","8/30/1946"
"NE",85,415,"416-5662","9/1/1986"
"MS",126,415,"363-9663","9/1/1972"
"OR",76,415,"410-9477","9/26/1975"
"DE",113,415,"352-4418","8/17/1947"
"DE",224,510,"361-6563","8/19/1989"
"AZ",117,408,"417-4404","9/5/1992"
"SD",128,408,"372-8048","8/8/1994"
"NV",115,415,"356-3646","9/25/1983"
"NM",141,415,"351-9604","9/30/1911"
"MN",51,510,"355-9581","8/21/1921"
"NJ",100,415,"396-5189","9/7/1987"
"IN",96,415,"356-9187","8/16/1961"
"DC",112,415,"394-5537","9/9/1962"
"MA",129,510,"408-2712","9/24/1941"
"ME",163,415,"404-4486","9/23/1992"
"NH",67,415,"355-1113","8/12/1991"
"AZ",140,408,"411-4674","8/30/1959"
"OR",49,510,"376-4519","8/6/1995"
"KS",46,510,"365-5979","9/8/1990"
"NE",148,415,"382-2879","9/1/1937"
"MI",112,510,"420-1383","9/25/1991"
"SC",78,415,"411-7390","7/28/1992"
"PA",61,408,"383-8848","9/13/1956"
"MT",58,510,"387-9301","9/20/1987"
"NM",155,415,"399-3164","8/6/1992"
"OH",100,510,"385-8997","7/30/1978"
"WY",113,510,"352-6573","9/15/1991"
"MI",81,415,"408-3384","8/11/1981"
"AR",135,510,"419-6033","8/16/1996"
"FL",99,408,"336-2090","8/9/1912"
"AR",59,510,"343-7242","9/16/1994"
"MO",135,510,"376-1713","9/18/1990"
"WI",85,408,"381-5878","8/13/1960"
"TX",70,510,"390-5470","9/15/1985"
"TX",88,510,"414-4803","9/28/1949"
"NM",55,510,"382-5478","9/6/1897"
"GA",75,415,"333-7637","7/31/1981"
"ID",79,510,"341-1647","9/22/1988"
"AL",85,408,"411-4232","9/29/1944"
"KS",86,408,"339-2616","7/30/1948"
"SD",91,510,"327-3850","8/9/1891"
"LA",149,415,"328-7209","7/28/1978"
"OH",97,408,"405-6189","9/11/1992"
"MA",88,415,"418-6737","8/3/1993"
"AZ",60,415,"366-2212","8/18/1983"
"KY",54,408,"356-1420","8/26/1919"
"DC",11,415,"343-1323","7/27/1982"
"WA",109,415,"361-8239","8/9/1897"
"UT",90,415,"384-1621","7/28/1973"
"RI",115,408,"360-3525","8/19/1983"
"OH",144,415,"392-3813","8/22/1979"
"NV",91,408,"337-6898","9/23/1985"
"ND",105,415,"366-8036","9/3/1979"
"NV",71,415,"352-8327","8/23/1963"
"FL",132,510,"334-9505","8/25/1962"
"MD",112,415,"336-5702","8/5/1910"
"AZ",86,415,"392-2381","9/11/1973"
"AL",41,510,"369-6880","7/28/1933"
"NE",44,415,"416-8697","8/21/1950"
"NV",78,408,"345-3451","8/23/1987"
"IL",149,408,"379-2514","9/17/1985"
"WV",72,510,"418-6651","8/28/1937"
"MI",139,415,"421-3528","7/7/1949"
"AR",74,510,"329-9046","7/27/1982"
"UT",50,510,"406-3890","7/4/1937"
"GA",141,510,"403-8904","8/6/1959"
"AZ",140,408,"393-4086","8/19/1958"
"ID",99,408,"400-1367","9/14/1962"
"HI",166,408,"377-9473","8/1/1955"
"NV",124,408,"396-3068","8/22/1993"
"MD",74,415,"331-9293","9/6/1917"
"GA",117,510,"347-1914","8/6/1989"
"GA",85,510,"395-1962","8/3/1955"
"UT",36,415,"401-5485","9/15/1982"
"MA",102,510,"355-6560","8/22/1966"
"IN",76,415,"363-3911","9/16/1923"
"VT",165,510,"345-1998","8/17/1967"
"IA",130,415,"361-5277","8/28/1893"
"IN",78,415,"376-7145","8/2/1900"
"AL",55,415,"375-2975","8/27/1918"
"ME",92,415,"376-8573","9/9/1975"
"RI",129,415,"366-7360","7/3/1957"
"MD",18,408,"347-7898","7/7/1987"
"FL",161,415,"390-7328","7/8/1979"
"CA",93,415,"356-5491","7/31/1968"
"AL",144,415,"373-3251","7/29/1961"
"ME",75,408,"343-1965","9/30/1977"
"WV",95,415,"378-8019","8/4/1993"
"SD",126,415,"386-1548","7/7/1981"
"FL",124,415,"397-1649","9/18/1963"
"MI",93,415,"366-7247","9/29/1929"
"MI",109,415,"402-9691","9/19/1990"
"NM",80,510,"334-9806","9/4/1978"
"AK",41,415,"378-7733","8/29/1992"
"OH",136,415,"407-2248","8/12/1958"
"MO",92,415,"405-3916","9/6/1988"
"KS",143,408,"407-2081","9/10/1941"
"MS",118,415,"397-9148","7/26/1995"
"VT",193,408,"415-4857","9/7/1989"
"NE",73,415,"354-7314","9/8/1929"
"VA",62,408,"346-5611","7/29/1993"
"DE",30,415,"349-4703","8/26/1981"
"AL",60,408,"411-7778","8/20/1995"
"ID",148,510,"421-1469","7/7/1983"
"MS",96,510,"420-5990","8/27/1895"
"OK",52,408,"389-4780","9/25/1927"
"NM",87,415,"357-2735","8/10/1897"
"WI",41,408,"409-4791","7/5/1982"
"WV",112,415,"380-5286","9/7/1993"
"SC",88,510,"394-8402","9/18/1941"
"KY",122,408,"392-1616","8/2/1937"
"MO",61,408,"364-1969","9/12/1906"
"IL",87,510,"390-4152","9/6/1986"
"OK",176,408,"367-7039","9/5/1901"
"MI",30,510,"391-6607","8/18/1982"
"NJ",95,415,"379-6652","8/14/1945"
"ID",46,415,"384-1833","8/14/1964"
"DC",100,510,"403-2455","9/21/1947"
"NY",47,415,"391-1348","8/2/1919"
"AL",77,415,"408-4174","9/29/1987"
"OR",98,415,"366-4334","7/8/1989"
"OK",125,415,"406-5059","8/20/1899"
"LA",67,510,"373-6784","7/8/1914"
"NE",194,408,"408-3532","8/22/1961"
"TX",128,415,"350-8680","8/12/1967"
"UT",190,415,"398-9870","9/23/1981"
"OR",165,415,"343-3356","9/7/1925"
"NY",59,408,"415-4609","9/23/1990"
"AL",47,408,"404-5387","9/3/1984"
"RI",150,415,"415-8151","8/6/1993"
"MN",152,415,"416-2778","9/9/1962"
"NC",26,415,"393-3300","9/10/1993"
"MD",79,510,"391-7661","8/29/1963"
"RI",95,510,"339-4317","9/17/1971"
"WI",69,510,"418-6455","9/16/1930"
"VT",95,510,"378-3508","8/17/1963"
"CT",31,415,"390-9359","8/1/1916"
"OK",121,408,"364-2495","7/4/1961"
"AK",111,415,"364-7719","9/5/1991"
"NY",157,415,"421-1189","9/8/1965"
"GA",44,510,"419-8987","8/23/1977"
"UT",61,510,"402-9980","8/24/1983"
"NM",65,415,"376-5908","8/1/1989"
"NE",74,415,"400-3150","8/17/1985"
"NJ",123,408,"336-1749","9/28/1961"
"TX",58,408,"420-1259","9/23/1974"
"MT",74,408,"339-7541","9/11/1964"
"CO",125,415,"378-9029","7/5/1980"
"VT",80,415,"342-7514","8/1/1993"
"RI",53,408,"422-4956","9/21/1972"
"WY",99,408,"389-8606","9/6/1974"
"ID",99,415,"406-7261","8/3/1991"
"CT",66,415,"417-7973","9/28/1991"
"ME",97,510,"390-2891","7/8/1982"
"AZ",75,510,"385-7387","8/13/1980"
"MD",85,510,"362-2776","8/24/1994"
"IN",108,510,"329-1955","8/29/1898"
"NC",133,408,"344-3160","8/25/1989"
"DE",51,510,"406-2454","8/21/1965"
"MN",186,415,"335-3913","7/27/1991"
"WI",44,415,"355-7705","9/6/1969"
"FL",64,408,"410-7108","7/30/1952"
"WV",44,510,"419-1674","9/8/1982"
"SD",114,415,"351-7369","7/6/1981"
"FL",92,415,"349-9566","8/30/1955"
"OR",110,408,"333-3421","9/24/1991"
"CO",90,408,"393-8199","8/5/1994"
"CT",72,408,"388-4879","8/2/1969"
"IN",113,415,"353-6007","8/10/1987"
"PA",171,415,"416-1557","9/16/1934"
"NM",104,415,"356-7217","8/4/1980"
"ME",165,408,"350-2012","8/3/1994"
"SD",104,510,"420-9838","7/6/1927"
"AR",110,408,"373-6379","8/4/1920"
"TX",90,408,"355-7293","7/29/1938"
"NH",114,415,"406-4588","9/21/1944"
"OK",101,408,"345-1524","9/21/1964"
"WI",117,408,"375-8493","8/30/1963"
"AL",109,408,"361-2924","9/14/1921"
"PA",82,408,"359-6163","9/18/1959"
"OK",92,510,"411-8140","8/14/1939"
"ME",82,510,"381-9049","8/20/1937"
"WV",90,415,"344-4478","9/7/1995"
"HI",87,408,"360-2690","9/22/1980"
"MN",124,510,"410-7383","7/29/1980"
"NY",39,408,"356-1889","9/7/1994"
"AZ",84,415,"341-2360","7/9/1918"
"OH",75,510,"370-3021","8/20/1989"
"MI",102,510,"336-4656","9/2/1942"
"MA",62,415,"386-2810","8/4/1910"
"WV",143,510,"350-1354","9/14/1992"
"MI",53,415,"346-5707","9/27/1977"
"NM",30,415,"405-8370","7/31/1974"
"MO",112,415,"373-2053","8/9/1988"
"RI",129,415,"369-5222","8/31/1950"
"NC",63,415,"347-7420","8/23/1953"
"WY",28,415,"392-6856","9/6/1965"
"WY",111,415,"371-5556","8/22/1977"
"PA",91,510,"334-5337","8/4/1973"
"KY",90,415,"334-8817","9/27/1949"
"OR",151,510,"339-1405","9/12/1943"
"NV",105,415,"380-7742","9/30/1989"
"DC",41,408,"329-6191","9/16/1988"
"UT",48,510,"340-3075","9/17/1992"
"WA",166,408,"416-5849","8/30/1993"
"FL",79,510,"334-7443","9/5/1934"
"VA",153,510,"394-9121","7/4/1939"
"KS",110,415,"383-1657","8/22/1981"
"KS",163,415,"347-4112","8/8/1945"
"DC",126,510,"362-8280","8/5/1953"
"ME",105,408,"402-9982","8/13/1916"
"LA",172,415,"392-8905","7/7/1984"
"DC",126,415,"392-5512","8/14/1988"
"TX",97,510,"351-6384","7/30/1900"
"NJ",95,408,"348-8015","7/6/1964"
"DE",87,510,"374-6966","9/8/1960"
"VT",97,415,"328-2236","9/12/1932"
"GA",76,415,"372-6497","8/17/1994"
"TX",140,408,"417-8617","9/2/1980"
"MT",169,415,"361-9621","8/12/1966"
